---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:31 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C11020000,0,0,662,711,0,0.02,0,0,0,11020.00,NDXP221212P11020000,0.69,0,0,0.55,0,2.4678,0,0,2
Mon Dec 12 2022,NDXP221212C11025000,0,0,654,702.3,0,0.02,0,0,0,11025.00,NDXP221212P11025000,1.05,0,0,0.55,0,2.4505,0,0,5
Mon Dec 12 2022,NDXP221212C11030000,0,0,652,701,0,0.02,0,0,0,11030.00,NDXP221212P11030000,0,0,0,0.55,0,2.4336,0,0,0
Mon Dec 12 2022,NDXP221212C11040000,0,0,642,691,0,0.02,0,0,0,11040.00,NDXP221212P11040000,2.28,0,0,0.55,0,2.4009,0,0,1
Mon Dec 12 2022,NDXP221212C11050000,0,0,632,681,0,0.02,0,0,0,11050.00,NDXP221212P11050000,0.05,-0.65,0,0.05,5,1.8955,0,0,33
Mon Dec 12 2022,NDXP221212C11060000,0,0,622,671,0,0.02,0,0,0,11060.00,NDXP221212P11060000,0,0,0,0.55,0,2.3343,0,0,0
Mon Dec 12 2022,NDXP221212C11070000,0,0,612,661,0,0.02,0,0,0,11070.00,NDXP221212P11070000,0.05,-0.7,0,0.55,5,2.2995,0,0,6
Mon Dec 12 2022,NDXP221212C11075000,0,0,607,656,0,0.02,0,0,0,11075.00,NDXP221212P11075000,0.87,0,0,0.55,0,2.2828,0,0,29
Mon Dec 12 2022,NDXP221212C11080000,0,0,599,647.3,0,0.02,0,0,0,11080.00,NDXP221212P11080000,2.1,0,0,0.55,0,2.2662,0,0,3
Mon Dec 12 2022,NDXP221212C11090000,0,0,592,641,0,0.02,0,0,0,11090.00,NDXP221212P11090000,0,0,0,0.55,0,2.2312,0,0,0
Mon Dec 12 2022,NDXP221212C11100000,729.75,0,579,627.3,0,0.02,0,0,1,11100.00,NDXP221212P11100000,0.05,-0.75,0,0.55,7,2.1992,0,0,29
Mon Dec 12 2022,NDXP221212C11110000,0,0,569,618.1,0,0.02,0,0,0,11110.00,NDXP221212P11110000,1.1,0,0,0.55,0,2.1676,0,0,1
Mon Dec 12 2022,NDXP221212C11120000,0,0,559,607.3,0,0.02,0,0,0,11120.00,NDXP221212P11120000,0,0,0,0.55,0,2.1327,0,0,0
Mon Dec 12 2022,NDXP221212C11125000,0,0,554,602.3,0,0.02,0,0,0,11125.00,NDXP221212P11125000,0.85,0,0,0.55,0,2.116,0,0,32
Mon Dec 12 2022,NDXP221212C11130000,0,0,549,597.3,0,0.02,0,0,0,11130.00,NDXP221212P11130000,0,0,0,0.55,0,2.0993,0,0,0
Mon Dec 12 2022,NDXP221212C11140000,0,0,542,591,0,0.02,0,0,0,11140.00,NDXP221212P11140000,0,0,0,0.55,0,2.0645,0,0,0
